metier;sexe;annee_naissance;random_id_client;enfant_conduite_accompagne;nombre_enfants;tranches_salaires;Tranche_valeur_residence_principale;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande.1;etat_dossier;formule;Tranche_tarif_devis
technicien de maintenance en informatique;M;1987;31211476602;FAUX;FAUX;20 - 40K;100 - 200K;Private;Pickup;0;10.0;Highly Urban/ Urban;08/04/2022;complet;dev_integral;300 - 400€
responsable assurance qualité;F;1993;20599280119;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;2;15.0;Highly Urban/ Urban;26/04/2022;complet;dev_integral;200 - 300€
art-thérapeute;M;2006;7887579079;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;1;20.0;Highly Urban/ Urban;30/01/2022;complet;dev_integral;300 - 400€
vendeur en magasin;F;1987;37728917148;FAUX;FAUX;40 - 60K;0 - 0K;Commercial;z_SUV;5;12.0;z_Highly Rural/ Rural;18/05/2022;complet;dev_express;200 - 300€
technicien d'exploitation de l'eau;M;1969;32331919229;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Minivan;3;6.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;400 - 500€
correcteur;F;1966;45234672181;FAUX;FAUX;+ 80K;300 - 400K;Private;Van;0;18.0;Highly Urban/ Urban;13/02/2022;complet;dev_express;200 - 300€
officier marinier marinière;M;2016;11078805948;FAUX;FAUX;20 - 40K;0 - 0K;Private;Minivan;0;8.0;Highly Urban/ Urban;26/04/2022;complet;dev_integral;300 - 400€
chef d'exploitation d'usine d'incinération;M;1963;11409918786;FAUX;VRAI;+ 80K;200 - 300K;Commercial;Van;2;;z_Highly Rural/ Rural;26/05/2022;complet;dev_premium;400 - 500€
contrôleur de gestion;F;1977;33811983258;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;1;10.0;Highly Urban/ Urban;11/05/2022;incomplet;dev_integral;300 - 400€
libraire;M;1965;6204874594;FAUX;VRAI;Inconnu;100 - 200K;Private;Minivan;0;16.0;Highly Urban/ Urban;06/02/2022;complet;dev_integral;300 - 400€
ingénieur chimiste en développement analytique;F;2002;18373955466;VRAI;VRAI;20 - 40K;Inconnu;Private;Minivan;0;5.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;200 - 300€
professeur en activité physique adaptée;F;1937;13586827449;FAUX;FAUX;0 - 20K;0 - 0K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;26/03/2022;complet;dev_premium;400 - 500€
responsable approvisionnement;F;1954;47491373978;FAUX;FAUX;40 - 60K;Inconnu;Commercial;Panel Truck;4;10.0;Highly Urban/ Urban;14/02/2022;complet;dev_express;200 - 300€
zoologiste;F;2014;44532364265;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Panel Truck;5;8.0;Highly Urban/ Urban;17/04/2022;complet;dev_integral;300 - 400€
manager de risques;F;1944;43276801903;FAUX;VRAI;+ 80K;300 - 400K;Commercial;Van;1;9.0;Highly Urban/ Urban;12/02/2022;complet;dev_express;200 - 300€
technicien électrotechnicien électrotechnicienne;M;2015;36755975642;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Pickup;0;17.0;Highly Urban/ Urban;20/03/2022;complet;dev_integral;200 - 300€
ingénieur hydroécologue;M;2010;16819251245;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Van;7;10.0;Highly Urban/ Urban;24/03/2022;complet;dev_express;200 - 300€
chef de publicité;M;1947;34376425992;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;4;;Highly Urban/ Urban;28/05/2022;complet;dev_integral;300 - 400€
chirurgien;M;1967;10942075395;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;1;7.0;Highly Urban/ Urban;27/04/2022;complet;dev_integral;300 - 400€
gouvernant;M;1973;57589358911;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;1;1.0;z_Highly Rural/ Rural;28/01/2022;complet;dev_premium;300 - 400€
éducateur technique spécialisé technique spécialisée;M;2009;35793621155;FAUX;FAUX;+ 80K;400 - 500K;Commercial;Panel Truck;4;11.0;Highly Urban/ Urban;21/03/2022;complet;dev_express;200 - 300€
éducateur sportif sportive des activités aquatiques et de la natation;F;1953;58251350416;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;0;12.0;Highly Urban/ Urban;07/01/2022;complet;dev_integral;300 - 400€
modiste;F;1965;25027674271;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;4;13.0;Highly Urban/ Urban;15/05/2022;complet;dev_premium;300 - 400€
responsable de laboratoire de contrôle en biologie;F;1988;581999482;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Sports Car;4;12.0;Highly Urban/ Urban;09/02/2022;complet;dev_integral;300 - 400€
hydrogéologue;M;1955;52746473239;FAUX;FAUX;+ 80K;502867;Commercial;Pickup;3;13.0;Highly Urban/ Urban;04/02/2022;complet;dev_express;200 - 300€
antiquaire;F;1981;11614205755;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Van;3;8.0;Highly Urban/ Urban;30/04/2022;complet;dev_integral;300 - 400€
animateur de bassin versant;M;2001;57824527837;FAUX;FAUX;60 - 80K;200 - 300K;Private;Van;0;1.0;Highly Urban/ Urban;06/01/2022;complet;dev_express;200 - 300€
actuaire;M;1974;23646838743;FAUX;VRAI;40 - 60K;0 - 0K;Private;z_SUV;2;1.0;Highly Urban/ Urban;12/04/2022;complet;dev_express;200 - 300€
technicien chimiste;F;1938;4160666902;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Panel Truck;5;10.0;Highly Urban/ Urban;25/04/2022;complet;dev_express;200 - 300€
horticulteur;M;1988;9731913002;VRAI;VRAI;+ 80K;200 - 300K;Commercial;Pickup;4;8.0;Highly Urban/ Urban;01/01/2022;complet;dev_integral;300 - 400€
régleur;M;1965;40831694049;FAUX;FAUX;20 - 40K;0 - 0K;Commercial;Pickup;5;1.0;Highly Urban/ Urban;16/03/2022;complet;dev_express;200 - 300€
monteur-câbleur;M;2000;22262840048;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Panel Truck;3;20.0;Highly Urban/ Urban;20/03/2022;complet;dev_integral;300 - 400€
technicien démonstrateur démonstratrice en matériel agricole;M;1951;21662380528;FAUX;FAUX;0 - 20K;0 - 0K;Private;z_SUV;3;2.0;Highly Urban/ Urban;20/01/2022;complet;dev_integral;200 - 300€
artiste de cirque;M;1966;28559422826;FAUX;FAUX;60 - 80K;100 - 200K;Private;Minivan;0;12.0;Highly Urban/ Urban;10/05/2022;complet;dev_integral;300 - 400€
médecin généraliste;M;2018;11229787715;FAUX;FAUX;0 - 20K;0 - 0K;Private;Sports Car;5;11.0;Highly Urban/ Urban;10/01/2022;complet;dev_premium;+ 500€
assistant en ressources humaines;F;2018;10777544101;FAUX;FAUX;60 - 80K;0 - 0K;Private;Sports Car;0;12.0;z_Highly Rural/ Rural;28/03/2022;complet;dev_integral;300 - 400€
conseiller sportif sportive en salle de remise en forme;M;1972;34135140005;FAUX;VRAI;20 - 40K;0 - 0K;Private;Pickup;0;10.0;z_Highly Rural/ Rural;18/02/2022;incomplet;dev_express;200 - 300€
microtechnicien;F;1978;18889802319;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;4;11.0;Highly Urban/ Urban;13/04/2022;complet;dev_integral;300 - 400€
brodeur;F;1938;25269046634;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;0;1.0;Highly Urban/ Urban;21/02/2022;complet;dev_integral;300 - 400€
moniteur-éducateur;F;2006;48950767239;FAUX;FAUX;20 - 40K;100 - 200K;Private;Pickup;2;1.0;Highly Urban/ Urban;15/01/2022;complet;dev_integral;300 - 400€
programmiste;F;1983;6203025475;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Pickup;0;10.0;z_Highly Rural/ Rural;25/01/2022;complet;dev_integral;300 - 400€
secrétaire médical;M;1952;31798379987;FAUX;FAUX;Inconnu;100 - 200K;Private;Minivan;2;7.0;Highly Urban/ Urban;18/01/2022;complet;dev_integral;300 - 400€
orthoprothésiste;F;1947;36742360802;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Panel Truck;0;17.0;Highly Urban/ Urban;15/02/2022;complet;dev_express;200 - 300€
aide-chimiste;M;1964;16688552144;FAUX;VRAI;60 - 80K;100 - 200K;Private;Pickup;1;14.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;+ 500€
formateur d'adultes;M;1966;29209809326;FAUX;FAUX;40 - 60K;100 - 200K;Private;Pickup;4;9.0;Highly Urban/ Urban;18/03/2022;complet;dev_express;200 - 300€
juriste en droit social;M;2006;11723946345;FAUX;FAUX;40 - 60K;200 - 300K;Private;Pickup;0;8.0;Highly Urban/ Urban;22/03/2022;complet;dev_integral;300 - 400€
patron pêcheur;M;2020;41840421474;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;3;;Highly Urban/ Urban;07/03/2022;complet;dev_integral;300 - 400€
ingénieur hydrogéomorphologue;M;2017;49157490082;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Van;0;4.0;Highly Urban/ Urban;18/05/2022;complet;dev_integral;300 - 400€
auditeur externe;F;2001;44990600922;FAUX;VRAI;20 - 40K;100 - 200K;Private;z_SUV;1;1.0;Highly Urban/ Urban;01/05/2022;complet;dev_express;200 - 300€
ingénieur maintenance aéronautique;F;1977;7138478912;FAUX;VRAI;+ 80K;200 - 300K;Private;z_SUV;0;11.0;Highly Urban/ Urban;26/05/2022;complet;dev_integral;300 - 400€
hydraulicien;F;2010;10755759413;FAUX;FAUX;40 - 60K;0 - 0K;Private;z_SUV;6;;Highly Urban/ Urban;23/04/2022;complet;dev_premium;+ 500€
auxiliaire de puériculture;F;1934;10555117464;VRAI;VRAI;+ 80K;300 - 400K;Private;Minivan;1;11.0;Highly Urban/ Urban;27/02/2022;complet;dev_express;200 - 300€
conducteur routier routière;F;1955;54463799809;FAUX;FAUX;60 - 80K;0 - 0K;Private;Pickup;2;10.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;200 - 300€
chef de produit marketing;F;2004;28971963098;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Panel Truck;1;21.0;Highly Urban/ Urban;21/03/2022;complet;dev_express;200 - 300€
conseiller d'élevage;M;1979;11299061444;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Sports Car;0;1.0;z_Highly Rural/ Rural;10/05/2022;complet;dev_integral;200 - 300€
garde à cheval;M;1985;52002364944;FAUX;FAUX;60 - 80K;Inconnu;Private;Minivan;0;9.0;Highly Urban/ Urban;03/04/2022;incomplet;dev_integral;300 - 400€
juriste droit de l'environnement;F;2020;41048274730;FAUX;VRAI;+ 80K;0 - 0K;Private;Pickup;0;10.0;z_Highly Rural/ Rural;11/04/2022;complet;dev_integral;200 - 300€
géomètre-topographe;F;1973;40754503051;FAUX;VRAI;0 - 20K;0 - 0K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;13/05/2022;complet;dev_express;200 - 300€
horticulteur;F;1954;19462902772;VRAI;VRAI;0 - 20K;0 - 0K;Private;Minivan;3;1.0;Highly Urban/ Urban;26/05/2022;complet;dev_integral;300 - 400€
conducteur opérateur opératrice de scierie;F;1943;42536392141;FAUX;FAUX;40 - 60K;200 - 300K;Private;Pickup;0;10.0;z_Highly Rural/ Rural;03/03/2022;complet;dev_express;200 - 300€
conducteur routier routière;F;1954;55910285522;FAUX;FAUX;+ 80K;0 - 0K;Private;Sports Car;0;12.0;Highly Urban/ Urban;26/01/2022;complet;dev_express;200 - 300€
agent de constatation des douanes;M;2013;17533908392;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Pickup;4;20.0;Highly Urban/ Urban;22/01/2022;complet;dev_express;200 - 300€
médecin humanitaire;F;1969;36086969863;FAUX;VRAI;60 - 80K;100 - 200K;Commercial;z_SUV;0;10.0;Highly Urban/ Urban;25/04/2022;incomplet;dev_integral;200 - 300€
animateur de radio et de télévision;F;1951;37041871529;FAUX;FAUX;0 - 20K;0 - 100K;Private;z_SUV;0;3.0;Highly Urban/ Urban;25/05/2022;complet;dev_express;200 - 300€
cogniticien;F;2005;18683831785;FAUX;FAUX;60 - 80K;200 - 300K;Private;Minivan;0;11.0;Highly Urban/ Urban;03/02/2022;complet;dev_premium;400 - 500€
credit manager;M;1987;4612802487;FAUX;FAUX;40 - 60K;Inconnu;Private;z_SUV;5;12.0;Highly Urban/ Urban;28/05/2022;incomplet;dev_express;200 - 300€
consultant en informatique décisionnelle;F;1971;34084648631;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Panel Truck;5;19.0;Highly Urban/ Urban;08/01/2022;complet;dev_express;200 - 300€
bibliothécaire;F;1976;58683483231;FAUX;FAUX;0 - 20K;Inconnu;Commercial;Minivan;0;11.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_express;200 - 300€
responsable du back office;M;1988;17852959506;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Sports Car;0;7.0;Highly Urban/ Urban;18/05/2022;complet;dev_express;200 - 300€
ingénieur technico-commercial technico-commerciale;M;1985;21796361799;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;0;8.0;z_Highly Rural/ Rural;25/05/2022;complet;dev_premium;400 - 500€
concepteur-rédacteur;M;1957;54428454443;VRAI;VRAI;40 - 60K;100 - 200K;Private;Sports Car;2;1.0;Highly Urban/ Urban;04/05/2022;complet;dev_integral;300 - 400€
architecte;F;1962;31472346577;FAUX;VRAI;+ 80K;300 - 400K;Private;Pickup;2;12.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;300 - 400€
élagueur;M;2003;23416642750;FAUX;FAUX;0 - 20K;0 - 0K;Private;Minivan;0;1.0;Highly Urban/ Urban;17/02/2022;complet;dev_integral;300 - 400€
administrateur réseaux;M;1941;54197789046;FAUX;FAUX;+ 80K;Inconnu;Private;Minivan;0;11.0;Highly Urban/ Urban;25/04/2022;complet;dev_premium;300 - 400€
ingénieur textile;F;2012;28722126005;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Panel Truck;0;7.0;Highly Urban/ Urban;24/03/2022;complet;dev_integral;200 - 300€
ingénieur nucléaire;F;1974;58802305809;FAUX;VRAI;0 - 20K;0 - 100K;Private;z_SUV;0;5.0;z_Highly Rural/ Rural;24/01/2022;complet;dev_express;200 - 300€
employé d'élevage;F;1964;56873275675;FAUX;VRAI;0 - 20K;0 - 0K;Commercial;z_SUV;0;8.0;Highly Urban/ Urban;27/04/2022;incomplet;dev_express;200 - 300€
responsable du back office;M;1939;29292101877;VRAI;VRAI;Inconnu;0 - 0K;Private;Pickup;0;9.0;z_Highly Rural/ Rural;03/03/2022;complet;dev_integral;300 - 400€
tapissier d'ameublement;F;1962;49526240259;FAUX;FAUX;+ 80K;300 - 400K;Private;Van;0;14.0;Highly Urban/ Urban;29/01/2022;complet;dev_integral;300 - 400€
accompagnateur en moyenne montagne;F;1931;47426614516;VRAI;VRAI;0 - 20K;100 - 200K;Private;z_SUV;0;4.0;z_Highly Rural/ Rural;29/04/2022;complet;dev_integral;300 - 400€
concepteur de niveaux de jeu web;F;1950;47041926079;FAUX;FAUX;60 - 80K;200 - 300K;Private;Sports Car;0;6.0;Highly Urban/ Urban;11/01/2022;complet;dev_integral;300 - 400€
chef de produit touristique;F;1979;57098668478;FAUX;VRAI;0 - 20K;0 - 100K;Commercial;Pickup;7;1.0;z_Highly Rural/ Rural;11/05/2022;complet;dev_express;200 - 300€
animateur de radio et de télévision;F;1968;26946498762;FAUX;VRAI;20 - 40K;0 - 0K;Private;z_SUV;6;1.0;Highly Urban/ Urban;07/05/2022;complet;dev_express;200 - 300€
géomaticien;M;2018;52448519463;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Minivan;3;1.0;Highly Urban/ Urban;08/02/2022;complet;dev_express;200 - 300€
microtechnicien;F;1951;32530844337;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;2;19.0;Highly Urban/ Urban;01/02/2022;complet;dev_integral;300 - 400€
professeur en activité physique adaptée;F;1962;27189892937;FAUX;FAUX;20 - 40K;0 - 0K;Commercial;z_SUV;3;12.0;Highly Urban/ Urban;10/03/2022;complet;dev_integral;300 - 400€
technicien de la circulation ferroviaire SNCF;F;1970;1067667127;FAUX;FAUX;40 - 60K;0 - 0K;Private;Minivan;1;1.0;Highly Urban/ Urban;08/03/2022;complet;dev_integral;300 - 400€
formateur en informatique;F;1963;49430816432;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;1;9.0;z_Highly Rural/ Rural;27/05/2022;complet;dev_premium;400 - 500€
technicien qualité;F;1973;1351450165;FAUX;FAUX;60 - 80K;200 - 300K;Private;Pickup;2;9.0;Highly Urban/ Urban;07/01/2022;complet;dev_vip;+ 500€
coloriste;M;1942;716050314;VRAI;VRAI;20 - 40K;100 - 200K;Private;Minivan;0;1.0;Highly Urban/ Urban;14/02/2022;complet;dev_express;200 - 300€
assistant commercial commerciale;M;1988;5767304103;FAUX;FAUX;20 - 40K;100 - 200K;Private;Sports Car;0;4.0;Highly Urban/ Urban;21/02/2022;complet;dev_express;200 - 300€
responsable de scierie;M;1971;41776588489;FAUX;VRAI;20 - 40K;100 - 200K;Commercial;Van;0;7.0;z_Highly Rural/ Rural;09/04/2022;complet;dev_integral;200 - 300€
gestionnaire de contrats informatiques;F;1958;21338236534;FAUX;VRAI;60 - 80K;200 - 300K;Commercial;Minivan;5;9.0;Highly Urban/ Urban;25/03/2022;complet;dev_integral;300 - 400€
chef de projet sites et sols pollués;F;1976;36668304946;FAUX;VRAI;+ 80K;200 - 300K;Private;z_SUV;0;20.0;Highly Urban/ Urban;31/03/2022;complet;dev_express;200 - 300€
responsable achats en chimie;M;2006;3702072351;FAUX;FAUX;40 - 60K;0 - 0K;Private;Sports Car;0;15.0;Highly Urban/ Urban;02/02/2022;complet;dev_integral;200 - 300€
chargé d'études en marketing;M;1973;25396025195;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Pickup;0;7.0;Highly Urban/ Urban;08/05/2022;complet;dev_integral;300 - 400€
enseignant d'art;M;1941;22384716230;FAUX;FAUX;40 - 60K;200 - 300K;Private;z_SUV;0;1.0;Highly Urban/ Urban;22/04/2022;incomplet;dev_express;200 - 300€
consignataire de navire;M;1984;40961809876;FAUX;VRAI;+ 80K;300 - 400K;Commercial;z_SUV;0;9.0;Highly Urban/ Urban;04/04/2022;complet;dev_integral;200 - 300€
lad-jockey, lad-driver;F;1969;44073132278;VRAI;VRAI;+ 80K;300 - 400K;Private;z_SUV;1;12.0;Highly Urban/ Urban;16/04/2022;incomplet;dev_integral;300 - 400€
expert-comptable;F;1955;18295406170;FAUX;FAUX;40 - 60K;200 - 300K;Private;Minivan;0;8.0;Highly Urban/ Urban;20/04/2022;incomplet;dev_integral;300 - 400€
éducateur de la protection judiciaire de la jeunesse (PJJ);F;1993;31029199996;VRAI;VRAI;0 - 20K;0 - 0K;Private;Sports Car;3;6.0;Highly Urban/ Urban;11/01/2022;complet;dev_express;200 - 300€
trader;M;1962;29010857845;FAUX;VRAI;+ 80K;300 - 400K;Commercial;Panel Truck;4;8.0;Highly Urban/ Urban;22/03/2022;complet;dev_express;200 - 300€
matelot à la pêche;M;1942;7823969645;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Sports Car;0;1.0;Highly Urban/ Urban;30/01/2022;complet;dev_integral;300 - 400€
officier de la Marine nationale;M;1988;32395097786;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;7;1.0;Highly Urban/ Urban;09/05/2022;complet;dev_integral;300 - 400€
photographe;M;1949;54317685365;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Minivan;3;5.0;Highly Urban/ Urban;11/04/2022;complet;dev_integral;200 - 300€
animateur 2D et 3D;M;1968;14693222766;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Van;1;8.0;Highly Urban/ Urban;10/01/2022;complet;dev_integral;300 - 400€
géothermicien;M;1968;10105228776;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;2;;Highly Urban/ Urban;26/03/2022;complet;dev_premium;400 - 500€
officier de la marine marchande;F;2000;28138937791;FAUX;FAUX;60 - 80K;Inconnu;Commercial;Panel Truck;10;14.0;Highly Urban/ Urban;24/02/2022;complet;dev_express;200 - 300€
machiniste-constructeur ou plateau;F;1985;36694023223;FAUX;FAUX;40 - 60K;100 - 200K;Private;Sports Car;3;15.0;Highly Urban/ Urban;21/03/2022;incomplet;dev_integral;300 - 400€
technicien de maintenance en informatique;F;2003;13912133153;FAUX;VRAI;+ 80K;300 - 400K;Commercial;Panel Truck;3;3.0;Highly Urban/ Urban;05/03/2022;complet;dev_integral;200 - 300€
assistant réalisateur réalisatrice;F;1942;7753869208;FAUX;FAUX;0 - 20K;0 - 100K;Private;Minivan;0;10.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;200 - 300€
viticulteur;M;1988;2031621753;FAUX;FAUX;0 - 20K;100 - 200K;Private;Sports Car;0;1.0;z_Highly Rural/ Rural;26/01/2022;complet;dev_integral;300 - 400€
inspecteur de banque;F;1936;15212167827;VRAI;VRAI;+ 80K;200 - 300K;Private;Minivan;4;10.0;Highly Urban/ Urban;06/01/2022;complet;dev_vip;+ 500€
ingénieur gaz;M;1994;1756726652;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;0;13.0;Highly Urban/ Urban;09/01/2022;complet;dev_integral;300 - 400€
conseiller sportif sportive en salle de remise en forme;M;1956;42119164732;FAUX;VRAI;+ 80K;200 - 300K;Commercial;z_SUV;1;1.0;Highly Urban/ Urban;13/01/2022;complet;dev_integral;300 - 400€
météorologiste;F;1941;11862216857;FAUX;FAUX;+ 80K;0 - 0K;Private;Sports Car;8;20.0;Highly Urban/ Urban;10/05/2022;complet;dev_integral;300 - 400€
océanologue;M;1943;46848387258;FAUX;VRAI;+ 80K;200 - 300K;Commercial;Panel Truck;0;1.0;z_Highly Rural/ Rural;02/03/2022;complet;dev_integral;300 - 400€
technicien de contrôle;F;1974;1325197820;FAUX;VRAI;60 - 80K;Inconnu;Private;Minivan;2;18.0;Highly Urban/ Urban;30/01/2022;complet;dev_express;200 - 300€
auteur-compositeur interprète interprète;F;1970;33875374569;FAUX;FAUX;Inconnu;100 - 200K;Private;z_SUV;0;25.0;Highly Urban/ Urban;14/04/2022;complet;dev_integral;200 - 300€
coordonnateur d'études cliniques;M;1993;32906802367;FAUX;VRAI;+ 80K;0 - 0K;Commercial;Panel Truck;0;19.0;Highly Urban/ Urban;29/05/2022;complet;dev_integral;300 - 400€
chargé de recherche en acoustique musicale;F;1987;18704748111;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;0;11.0;z_Highly Rural/ Rural;06/02/2022;incomplet;dev_integral;300 - 400€
directeur artistique;M;2018;32449200255;FAUX;VRAI;20 - 40K;100 - 200K;Private;Pickup;0;17.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;200 - 300€
physicien médical médicale;F;1971;53447140601;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Pickup;2;11.0;z_Highly Rural/ Rural;27/01/2022;complet;dev_integral;300 - 400€
ingénieur chimiste en développement analytique;F;1966;34993417843;FAUX;FAUX;40 - 60K;200 - 300K;Private;Van;3;13.0;Highly Urban/ Urban;07/05/2022;complet;dev_express;200 - 300€
accessoiriste;F;1957;10308820666;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Minivan;0;4.0;Highly Urban/ Urban;12/04/2022;incomplet;dev_premium;400 - 500€
conducteur de machines agricoles;M;1951;44683797146;FAUX;VRAI;20 - 40K;100 - 200K;Commercial;z_SUV;0;8.0;z_Highly Rural/ Rural;06/03/2022;complet;dev_premium;400 - 500€
fleuriste;M;2004;2479068962;FAUX;VRAI;40 - 60K;0 - 0K;Commercial;z_SUV;1;5.0;Highly Urban/ Urban;06/05/2022;complet;dev_express;200 - 300€
chercheur en chimie;F;1969;44867688641;FAUX;VRAI;40 - 60K;0 - 0K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;23/01/2022;complet;dev_premium;+ 500€
éditeur;M;1998;39941083975;FAUX;VRAI;0 - 20K;Inconnu;Commercial;z_SUV;3;1.0;Highly Urban/ Urban;21/01/2022;complet;dev_integral;200 - 300€
horticulteur;F;1952;10214360781;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;0;1.0;Highly Urban/ Urban;22/01/2022;incomplet;dev_integral;200 - 300€
chercheur en biologie;M;1960;55750717367;FAUX;VRAI;Inconnu;0 - 0K;Private;Minivan;1;;Highly Urban/ Urban;24/05/2022;complet;dev_integral;300 - 400€
responsable de projets culturels;F;1983;3683164975;FAUX;VRAI;20 - 40K;100 - 200K;Private;Minivan;4;8.0;z_Highly Rural/ Rural;23/04/2022;complet;dev_integral;200 - 300€
conducteur de travaux  agricoles;F;1961;38962421475;FAUX;FAUX;+ 80K;300 - 400K;Private;z_SUV;0;9.0;Highly Urban/ Urban;19/02/2022;complet;dev_express;200 - 300€
commerçant en alimentation;F;1954;34888508468;FAUX;FAUX;20 - 40K;0 - 0K;Private;Minivan;0;7.0;z_Highly Rural/ Rural;10/01/2022;complet;dev_express;200 - 300€
contremaître;M;2014;11560072134;FAUX;VRAI;40 - 60K;0 - 0K;Private;Sports Car;0;13.0;Highly Urban/ Urban;26/02/2022;complet;dev_premium;300 - 400€
responsable de laboratoire de contrôle en chimie;F;2005;23230413675;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Panel Truck;6;;Highly Urban/ Urban;05/03/2022;incomplet;dev_integral;300 - 400€
conducteur de train;F;1989;44474200531;VRAI;VRAI;0 - 20K;0 - 100K;Private;z_SUV;0;10.0;Highly Urban/ Urban;03/01/2022;complet;dev_express;200 - 300€
maréchal-ferrant;F;2017;51875201595;FAUX;FAUX;+ 80K;400 - 500K;Private;z_SUV;0;19.0;Highly Urban/ Urban;02/05/2022;incomplet;dev_integral;300 - 400€
chef de publicité;M;1963;13553006761;FAUX;FAUX;Inconnu;100 - 200K;Private;Minivan;0;;Highly Urban/ Urban;27/01/2022;complet;dev_integral;300 - 400€
technicien télécoms et réseaux;M;1938;15931758967;FAUX;FAUX;40 - 60K;Inconnu;Commercial;Panel Truck;2;8.0;z_Highly Rural/ Rural;26/05/2022;complet;dev_integral;300 - 400€
technicien prototypiste en agroéquipement;M;1966;1718183132;FAUX;VRAI;40 - 60K;Inconnu;Commercial;Pickup;1;1.0;Highly Urban/ Urban;22/05/2022;incomplet;dev_express;200 - 300€
femme de chambre;F;1973;56046312264;FAUX;VRAI;0 - 20K;0 - 0K;Private;Minivan;3;1.0;Highly Urban/ Urban;07/03/2022;complet;dev_integral;300 - 400€
décolleteur;F;1972;9885774854;FAUX;FAUX;20 - 40K;0 - 0K;Private;z_SUV;3;;Highly Urban/ Urban;16/04/2022;complet;dev_express;200 - 300€
garçon de café;M;1978;41608906949;FAUX;VRAI;20 - 40K;100 - 200K;Private;z_SUV;3;6.0;Highly Urban/ Urban;23/05/2022;complet;dev_express;200 - 300€
pilote de ligne;F;1955;7871911039;FAUX;VRAI;20 - 40K;100 - 200K;Private;z_SUV;0;11.0;Highly Urban/ Urban;08/01/2022;complet;dev_premium;400 - 500€
ingénieur biomédical biomédicale;M;2002;50428171017;FAUX;VRAI;60 - 80K;200 - 300K;Private;Minivan;0;21.0;Highly Urban/ Urban;29/05/2022;complet;dev_integral;300 - 400€
commissaire de police;F;1995;30545374685;VRAI;VRAI;20 - 40K;Inconnu;Private;z_SUV;0;;z_Highly Rural/ Rural;08/05/2022;incomplet;dev_integral;200 - 300€
